date,score
2023-10-11T19:43:00.937200500+00:00,5
2023-10-11T19:44:21.205287200+00:00,0
2023-10-29T15:09:41.155313300+00:00,5
2023-11-09T13:23:43.250504+00:00,5
2023-11-10T10:08:12.378015100+00:00,4
2023-12-01T10:40:25.934021400+00:00,3
2023-12-01T10:57:29.398618+00:00,4
2023-12-01T10:57:51.248973400+00:00,3
2023-12-01T11:24:03.955384500+00:00,2
2023-12-01T11:24:53.240616600+00:00,2
2023-12-01T11:25:13.506747300+00:00,4
2023-12-01T11:25:49.923752600+00:00,10
2023-12-01T11:26:12.341315100+00:00,4
2023-12-01T11:30:47.162135500+00:00,4
2023-12-01T11:36:20.216430900+00:00,2
2023-12-01T12:56:30.017900300+00:00,0
2023-12-01T13:06:16.693807600+00:00,3
2023-12-01T13:08:14.579904+00:00,4
2023-12-05T12:06:07.338557400+00:00,30
2023-12-05T12:14:10.231726100+00:00,10
2023-12-05T12:24:14.371559700+00:00,0
2023-12-05T12:24:21.756995+00:00,0
2023-12-05T12:24:52.695056400+00:00,0
2023-12-05T12:33:44.913608200+00:00,59
